airport,operation_category,ops_scenario,feasibility_scenario,adoption_scenario,operation_category_short,label,color
MWH,Itinerant Air Taxi,High,Fast,Slow,ItinAirTaxi,MWH_ItinAirTaxi_ops=High_feasibility=Fast_adoption=Slow,
MWH,Itinerant Air Taxi,High,Fast,Medium,ItinAirTaxi,MWH_ItinAirTaxi_ops=High_feasibility=Fast_adoption=Medium,
MWH,Itinerant Air Taxi,High,Fast,Fast,ItinAirTaxi,MWH_ItinAirTaxi_ops=High_feasibility=Fast_adoption=Fast,
MWH,eVTOL,Low,Slow,Slow,eVTOL,MWH_eVTOL_ops=Low_feasibility=Slow_adoption=Slow,
MWH,eVTOL,Low,Slow,Medium,eVTOL,MWH_eVTOL_ops=Low_feasibility=Slow_adoption=Medium,
MWH,eVTOL,Low,Slow,Fast,eVTOL,MWH_eVTOL_ops=Low_feasibility=Slow_adoption=Fast,
MWH,eVTOL,Low,Medium,Slow,eVTOL,MWH_eVTOL_ops=Low_feasibility=Medium_adoption=Slow,
MWH,eVTOL,Low,Medium,Medium,eVTOL,MWH_eVTOL_ops=Low_feasibility=Medium_adoption=Medium,
MWH,eVTOL,Low,Medium,Fast,eVTOL,MWH_eVTOL_ops=Low_feasibility=Medium_adoption=Fast,
MWH,eVTOL,Low,Fast,Slow,eVTOL,MWH_eVTOL_ops=Low_feasibility=Fast_adoption=Slow,
MWH,eVTOL,Low,Fast,Medium,eVTOL,MWH_eVTOL_ops=Low_feasibility=Fast_adoption=Medium,
MWH,eVTOL,Low,Fast,Fast,eVTOL,MWH_eVTOL_ops=Low_feasibility=Fast_adoption=Fast,
MWH,eVTOL,Medium,Slow,Slow,eVTOL,MWH_eVTOL_ops=Medium_feasibility=Slow_adoption=Slow,
MWH,eVTOL,Medium,Slow,Medium,eVTOL,MWH_eVTOL_ops=Medium_feasibility=Slow_adoption=Medium,
MWH,eVTOL,Medium,Slow,Fast,eVTOL,MWH_eVTOL_ops=Medium_feasibility=Slow_adoption=Fast,
MWH,eVTOL,Medium,Medium,Slow,eVTOL,MWH_eVTOL_ops=Medium_feasibility=Medium_adoption=Slow,
MWH,eVTOL,Medium,Medium,Medium,eVTOL,MWH_eVTOL_ops=Medium_feasibility=Medium_adoption=Medium,
MWH,eVTOL,Medium,Medium,Fast,eVTOL,MWH_eVTOL_ops=Medium_feasibility=Medium_adoption=Fast,
MWH,eVTOL,Medium,Fast,Slow,eVTOL,MWH_eVTOL_ops=Medium_feasibility=Fast_adoption=Slow,
MWH,eVTOL,Medium,Fast,Medium,eVTOL,MWH_eVTOL_ops=Medium_feasibility=Fast_adoption=Medium,
MWH,eVTOL,Medium,Fast,Fast,eVTOL,MWH_eVTOL_ops=Medium_feasibility=Fast_adoption=Fast,
MWH,eVTOL,High,Slow,Slow,eVTOL,MWH_eVTOL_ops=High_feasibility=Slow_adoption=Slow,
MWH,eVTOL,High,Slow,Medium,eVTOL,MWH_eVTOL_ops=High_feasibility=Slow_adoption=Medium,
MWH,eVTOL,High,Slow,Fast,eVTOL,MWH_eVTOL_ops=High_feasibility=Slow_adoption=Fast,
MWH,eVTOL,High,Medium,Slow,eVTOL,MWH_eVTOL_ops=High_feasibility=Medium_adoption=Slow,
MWH,eVTOL,High,Medium,Medium,eVTOL,MWH_eVTOL_ops=High_feasibility=Medium_adoption=Medium,
MWH,eVTOL,High,Medium,Fast,eVTOL,MWH_eVTOL_ops=High_feasibility=Medium_adoption=Fast,
MWH,eVTOL,High,Fast,Slow,eVTOL,MWH_eVTOL_ops=High_feasibility=Fast_adoption=Slow,
MWH,eVTOL,High,Fast,Medium,eVTOL,MWH_eVTOL_ops=High_feasibility=Fast_adoption=Medium,
MWH,eVTOL,High,Fast,Fast,eVTOL,MWH_eVTOL_ops=High_feasibility=Fast_adoption=Fast,
MWH,Total,Low,Slow,Slow,Total,MWH_Total_ops=Low_feasibility=Slow_adoption=Slow,
MWH,Total,Low,Slow,Medium,Total,MWH_Total_ops=Low_feasibility=Slow_adoption=Medium,
MWH,Total,Low,Slow,Fast,Total,MWH_Total_ops=Low_feasibility=Slow_adoption=Fast,
MWH,Total,Low,Medium,Slow,Total,MWH_Total_ops=Low_feasibility=Medium_adoption=Slow,
MWH,Total,Low,Medium,Medium,Total,MWH_Total_ops=Low_feasibility=Medium_adoption=Medium,
MWH,Total,Low,Medium,Fast,Total,MWH_Total_ops=Low_feasibility=Medium_adoption=Fast,
MWH,Total,Low,Fast,Slow,Total,MWH_Total_ops=Low_feasibility=Fast_adoption=Slow,
MWH,Total,Low,Fast,Medium,Total,MWH_Total_ops=Low_feasibility=Fast_adoption=Medium,
MWH,Total,Low,Fast,Fast,Total,MWH_Total_ops=Low_feasibility=Fast_adoption=Fast,
MWH,Total,Medium,Slow,Slow,Total,MWH_Total_ops=Medium_feasibility=Slow_adoption=Slow,
MWH,Total,Medium,Slow,Medium,Total,MWH_Total_ops=Medium_feasibility=Slow_adoption=Medium,
MWH,Total,Medium,Slow,Fast,Total,MWH_Total_ops=Medium_feasibility=Slow_adoption=Fast,
MWH,Total,Medium,Medium,Slow,Total,MWH_Total_ops=Medium_feasibility=Medium_adoption=Slow,
MWH,Total,Medium,Medium,Medium,Total,MWH_Total_ops=Medium_feasibility=Medium_adoption=Medium,
MWH,Total,Medium,Medium,Fast,Total,MWH_Total_ops=Medium_feasibility=Medium_adoption=Fast,
MWH,Total,Medium,Fast,Slow,Total,MWH_Total_ops=Medium_feasibility=Fast_adoption=Slow,
MWH,Total,Medium,Fast,Medium,Total,MWH_Total_ops=Medium_feasibility=Fast_adoption=Medium,
MWH,Total,Medium,Fast,Fast,Total,MWH_Total_ops=Medium_feasibility=Fast_adoption=Fast,
MWH,Total,High,Slow,Slow,Total,MWH_Total_ops=High_feasibility=Slow_adoption=Slow,
MWH,Total,High,Slow,Medium,Total,MWH_Total_ops=High_feasibility=Slow_adoption=Medium,
MWH,Total,High,Slow,Fast,Total,MWH_Total_ops=High_feasibility=Slow_adoption=Fast,
MWH,Total,High,Medium,Slow,Total,MWH_Total_ops=High_feasibility=Medium_adoption=Slow,
MWH,Total,High,Medium,Medium,Total,MWH_Total_ops=High_feasibility=Medium_adoption=Medium,
MWH,Total,High,Medium,Fast,Total,MWH_Total_ops=High_feasibility=Medium_adoption=Fast,
MWH,Total,High,Fast,Slow,Total,MWH_Total_ops=High_feasibility=Fast_adoption=Slow,
MWH,Total,High,Fast,Medium,Total,MWH_Total_ops=High_feasibility=Fast_adoption=Medium,
MWH,Total,High,Fast,Fast,Total,MWH_Total_ops=High_feasibility=Fast_adoption=Fast,
